decision_id,source_path,target_path,move_policy,status,reason,risk,evidence,owner,archive_ref,recovery_command,batch_id,approved_by,notes
B2-MOVE-001,allocator_agent.py,old/allocator_agent.py,move-reference,executed,whole-file move; only importer is dead sim_main::main; 5 top-level symbols all dead-chain-only,low,only sim_main.py:17 imports it; AllocatorInt/sched_step/period_boader_display=0 external users,worker-sim,B2-MOVE-DEAD-SIM-CHAIN,git checkout archive/test_pipeline-20260612 -- allocator_agent.py,,B2-MOVE-DEAD-SIM-CHAIN,user | RECLASSIFIED 2026-06-16: unused/allocator_agent.py → old/allocator_agent.py (old=历史版本/unused=独立功能),EXECUTED 2026-06-16; regression gate PASS (6 import + 3 --help)
B2-MOVE-002,sim_main.py::others()+::main(),sim_main_old.py,move-reference,executed,function-segment move (L606-691 others, L726-870 main); interleaved preprocess_args(L692) stays active,low-medium,others()=0 callers; main() only repack_sweep.py; preprocess_args active via approach_setup.py:106,worker-sim,B2-MOVE-DEAD-SIM-CHAIN,git checkout archive/test_pipeline-20260612 -- sim_main.py,,B2-MOVE-DEAD-SIM-CHAIN | RECLASSIFIED 2026-06-16: sim_main_unused.py → sim_main_old.py (old=历史版本/unused=独立功能),user,EXECUTED 2026-06-16; sim_main_unused.py created; gate PASS; surviving code byte-identical
B2-MOVE-003,scripts/repack_sweep.py,scripts/unused/repack_sweep.py,move-reference,executed,whole-file move; only purpose is driving dead sim_main::main,low,no .py/.sh references; not in CLAUDE.md commands,worker-sim,B2-MOVE-DEAD-SIM-CHAIN,git checkout archive/test_pipeline-20260612 -- scripts/repack_sweep.py,,B2-MOVE-DEAD-SIM-CHAIN,user | RECLASSIFIED 2026-06-16: scripts/old/repack_sweep.py → scripts/unused/repack_sweep.py (old=历史版本/unused=独立功能),EXECUTED 2026-06-16; gate PASS
B3-MOVE-001,sched/bin_ops.old.py,unused/bin_ops.old.py,move-reference,N/A,whole-file; v0 generation; 0 live import; 5 fns only self-called,low,grep from sched.bin_ops.old=0; AST unreachable,worker-binpack,B3-BINPACK-DEAD-MOVE,git checkout archive/test_pipeline-20260612 -- sched/bin_ops.old.py,B3-BINPACK-DEAD-MOVE,,"N/A: file is UNTRACKED in main working tree, NOT in test_pipeline (git cat-file confirmed). Out of scope per P1-GIT-002. Ghost file, no action needed."
B3-MOVE-002,sched/pre_alloc.py,old/pre_alloc.py,move-reference,executed,whole-file; v1 generation; glb_alloc_new only called by bin_ops.old; global_sched:25 dead-import,low,AST glb_alloc_new() callers=bin_ops.old only; global_sched 0 Call nodes,worker-binpack,B3-BINPACK-DEAD-MOVE,git checkout archive/test_pipeline-20260612 -- sched/pre_alloc.py sched/global_sched.py,B3-BINPACK-DEAD-MOVE,user,EXECUTED 2026-06-16; tracked file moved; gate PASS | RECLASSIFIED 2026-06-16: unused/pre_alloc.py → old/pre_alloc.py (old=历史版本/unused=独立功能)
B3-MOVE-003,model/message/message_handler_old.py,model/message/old/message_handler_old.py,move-reference,N/A,whole-file; 12 fns old generation; 0 live import,low,grep message_handler_old=0 live,worker-binpack,B3-BINPACK-DEAD-MOVE,git checkout archive/test_pipeline-20260612 -- model/message/message_handler_old.py,B3-BINPACK-DEAD-MOVE,,"N/A: file is UNTRACKED in main working tree, NOT in test_pipeline (git cat-file confirmed). Out of scope per P1-GIT-002. Ghost file, no action needed."
B3-MOVE-004,sched/packing_solver/gurobi_semi2Dclst_mapping.py,sched/packing_solver/unused/gurobi_semi2Dclst_mapping.py,move-reference,executed,whole-file; GurobiSemi2DClstMapping 0 live callers; global_sched import is comment,low,AST 0 callers; global_sched:1049 is #comment,worker-binpack,B3-BINPACK-DEAD-MOVE,git checkout archive/test_pipeline-20260612 -- sched/packing_solver/gurobi_semi2Dclst_mapping.py,B3-BINPACK-DEAD-MOVE,user,EXECUTED 2026-06-16; tracked file moved; gate PASS | RECLASSIFIED 2026-06-16: sched/packing_solver/old/gurobi_semi2Dclst_mapping.py → sched/packing_solver/unused/gurobi_semi2Dclst_mapping.py (old=历史版本/unused=独立功能)
B3-MOVE-005,sched/packing_solver/gurobi_semi2Dclst_mapping2.py,sched/packing_solver/unused/gurobi_semi2Dclst_mapping2.py,move-reference,executed,whole-file; same class v2; 0 live callers,low,AST 0 callers,worker-binpack,B3-BINPACK-DEAD-MOVE,git checkout archive/test_pipeline-20260612 -- sched/packing_solver/gurobi_semi2Dclst_mapping2.py,B3-BINPACK-DEAD-MOVE,user,EXECUTED 2026-06-16; tracked file moved; gate PASS | RECLASSIFIED 2026-06-16: sched/packing_solver/old/gurobi_semi2Dclst_mapping2.py → sched/packing_solver/unused/gurobi_semi2Dclst_mapping2.py (old=历史版本/unused=独立功能)
B3-MOVE-006,sched/pre_alloc_new.py::bin_select_new(L287-328),sched/pre_alloc_new_old.py,move-reference,executed,function move; dead wrapper of bin_sel; 0 external callers,low,AST bin_select_new() callers=0,worker-binpack,B3-BINPACK-DEAD-MOVE,git checkout archive/test_pipeline-20260612 -- sched/pre_alloc_new.py,B3-BINPACK-DEAD-MOVE,user,EXECUTED 2026-06-16; bin_select_new sliced to pre_alloc_new_unused.py; pre_alloc_new.py pure deletion 41 lines; gate PASS | RECLASSIFIED 2026-06-16: sched/pre_alloc_new_unused.py → sched/pre_alloc_new_old.py (old=历史版本/unused=独立功能)
B3-MOVE-007,sched/global_sched.py::naive_iso(L281-317),sched/global_sched_old.py,move-reference,executed,function move; isolation algo old; 0 calls direct+indirect,low,AST unreachable; 0 callers,worker-binpack,B3-BINPACK-DEAD-MOVE,git checkout archive/test_pipeline-20260612 -- sched/global_sched.py,B3-BINPACK-DEAD-MOVE,user,"EXECUTED 2026-06-16; naive_iso sliced to global_sched_unused.py; global_sched.py pure deletion 36 lines (byte-identical, trailing newline matched test_pipeline); gate PASS | RECLASSIFIED 2026-06-16: sched/global_sched_unused.py → sched/global_sched_old.py (old=历史版本/unused=独立功能)"
B3-MOVE-008,sched/pre_alloc_new.py::commented_test(L627-748),sched/pre_alloc_new_old.py,move-reference,executed,move commented test block; references pre_alloc.py old fns; detached,low,L627 # test code; refs check_and_preemt_at_queue etc absent,worker-binpack,B3-BINPACK-DEAD-MOVE,git checkout archive/test_pipeline-20260612 -- sched/pre_alloc_new.py,B3-BINPACK-DEAD-MOVE,user,EXECUTED 2026-06-16; commented test block (123 lines) moved to pre_alloc_new_unused.py; pure deletion; gate PASS | RECLASSIFIED 2026-06-16: sched/pre_alloc_new_unused.py → sched/pre_alloc_new_old.py (old=历史版本/unused=独立功能)
